1.0008292,744795
2.0009003,1465875
3.001099,2035507
4.00113,2641385
5.001167,3298036
6.0011935,3956968
7.0012293,4611674
8.001258,5276522
9.001298,5935332
10.001326,6578190
11.001384,7234891
12.001419,7853501
13.0014515,8495800
14.001486,9153874
15.00152,9814571
16.001572,10458313
17.001625,11128132
18.00167,11778185
19.001694,12421193
20.00172,13075575
21.00175,13650529
22.001776,14301821
23.001852,14957337
24.001879,15604233
25.001925,16262606
26.001947,16917048
27.00197,17570955
28.002003,18225601
29.00205,18871037
30.002073,19532102
31.002096,20181186
32.002148,20843826
33.002193,21499638
34.00226,22147931
35.00228,22803315
36.002308,23463003
37.00233,24123040
38.002354,24779644
39.002373,25433715
40.002396,26087795
41.002422,26759526
42.00245,27429290
43.002472,28107846
44.002487,28777942
45.002518,29455142
46.00254,30130213
47.002563,30804017
48.002594,31465362
49.00263,32132181
50.002678,32796798
51.002705,33475156
52.002728,34145238
53.002747,34810992
54.00277,35484918
55.002792,36160085
56.00283,36835489
57.002857,37499530
58.00288,38155106
59.002903,38814085
60.002926,39474849
61.002956,40136942
62.00298,40786928
63.00301,41436633
64.00306,42084788
65.003075,42757998
66.003105,43378480
67.00349,44026304
68.00352,44635685
69.00353,45344582
70.003586,46011115
71.00362,46693976
72.003685,47354444
73.00489,47967124
74.00501,48699184
75.005035,49404451
76.00506,50097297
77.00509,50763204
78.00515,51278630
79.00518,51824248
80.0052,52542820
81.005264,53145758
82.00529,53788626
83.00531,54425384
84.00537,55057749
85.00542,55718916
86.00545,56391804
87.00547,57068758
88.00994,57714323
89.00997,58430382
90.009995,59084743
91.010025,59777008
92.01005,60503298
93.01008,61197759
94.0101,61904375
95.010345,62576668
96.0104,63229928
97.010414,63868029
98.01052,64502384
99.01054,65163721
100.01057,65821493
